record_type,method,graph_family,n_vertices,n_edges,edges,maximum_cut,qaoa_depth,n_parameters,objective,optimizer,initial_parameters,reference_optimum_method,optimal_parameters,optimal_loss,optimal_mean_ratio,optimal_mass_at_reference,reference_iterations,reference_function_evaluations,reference_gradient_norm,reference_converged,reference_message,graph_seed,gamma,iterations,learning_rate,adam_beta1,adam_beta2,adam_epsilon,finite_difference_step,initialization_seed,simulator,shots,device_seed,reference_max_iterations,reference_gradient_tolerance,iteration,loss,mean_final_ratio,mean_cut,best_ratio,optimal_mass,parameter_error_l2,gradient_norm,parameters,parameter_error_definition,parameter_error_cost_period,parameter_error_mixer_period
problem_specification,shared,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,,,,,,,,,,L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
iteration,finite_difference,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,0.0,0.8951078103686664,0.6477857142857142,4.5345,1.0,0.146,0.4698411978168108,,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
iteration,finite_difference,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,1.0,0.4938055040094904,0.7815,5.4705,1.0,0.351,0.3871403264012285,3.2375658140184056,"[4.445314234365524, 2.4286400748061876, 6.197539181535649, 1.3063605684651183]",L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
iteration,finite_difference,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,2.0,0.219861736923213,0.8999285714285714,6.2995,1.0,0.617,0.3562366314320507,2.886311082003168,"[4.380707645986349, 2.3554582418644383, 6.1188358864873, 1.2262902686953636]",L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
iteration,finite_difference,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,3.0,0.2645689264248124,0.8778571428571429,6.1450000000000005,1.0,0.5495000000000001,0.3675057578735767,0.8749097664156942,"[4.315022154073284, 2.2977901027629253, 6.049910147864475, 1.1885704488522684]",L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
iteration,finite_difference,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,4.0,0.322694877349962,0.8410714285714286,5.8875,1.0,0.489,0.33981112242709627,1.7955360525604354,"[4.308688595687016, 2.2991338923677187, 5.997715295797051, 1.2004006548879222]",L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
iteration,finite_difference,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,5.0,0.2310182994512232,0.8707142857142857,6.095,1.0,0.6084999999999999,0.28883736936262866,2.547342647448736,"[4.338355833056708, 2.326922279340305, 5.963026347380842, 1.2380290044512694]",L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
iteration,finite_difference,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,6.0,0.1834632688168402,0.881142857142857,6.167999999999999,1.0,0.6829999999999999,0.23841172103744204,1.3879530343862785,"[4.374381600518945, 2.365697260501241, 5.9401151155338185, 1.2809588899490152]",L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
iteration,finite_difference,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,7.0,0.1554271887360516,0.904714285714286,6.333000000000001,1.0,0.7244999999999999,0.20047280945734494,0.7403857173132097,"[4.410844281009014, 2.4082099481253443, 5.922442410396291, 1.3251937401024065]",L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
iteration,finite_difference,regular3,6,9,"[[0, 1], [0, 3], [0, 4], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 5]]",7.0,2,4,quantum_tilted_loss,Adam,"[4.525314226563329, 2.508640072545789, 6.277539181284928, 1.3863605664946994]",analytic_L-BFGS-B_parameter-shift_from_shared_initialization,"[4.400668108153182, 2.583331728252988, 4.277386505731298, 1.2627143830537833]",0.1083327878271136,0.9240050850114536,0.7967487849135514,13,18,8.791197452708817e-11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,2.0,60,0.08,0.9,0.999,1e-08,0.05,20260725,default.qubit,2000,314159,300,1e-10,8.0,0.1662202713470086,0.9066428571428572,6.3465,1.0,0.704,0.17710077316254974,0.5271700839710153,"[4.44056573747129, 2.4512731389709987, 5.908807654494239, 1.3557628810951894]",L2 distance to closest symmetry-equivalent optimal vector,3.141592653589793,1.5707963267948966
